Li,B,C,Mg,Al,Si,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Y,Zr,Nb,Mo,Sn,Hf,Ta,W,Phases,HV,Delta,Gamma,Enthalpy of Mixing,Electronegativity,VEC,Configurational Entropy,Weighted Melting Temperature,Yang Parameter,Asymmetry,e/a
0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,FCC,125,0.327647103,1.008683978,-1.333333331,0.032998316,8.999999991,9.134370805,1495.999999,10.24876405,0.023149516,1.079999999
0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,FCC,125,0.327647103,1.008683978,-1.333333331,0.032998316,8.999999991,9.134370805,1495.999999,10.24876405,0.023149516,1.079999999
0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,FCC,,0.327647103,1.008683978,-1.333333331,0.032998316,8.999999991,9.134370805,1495.999999,10.24876405,0.023149516,1.079999999
0,0,0,0,0,0.076923077,0,0,0,0,0,0.307692308,0.307692308,0.307692308,0,0,0,0,0,0,0,0,0,0,FCC,149,2.02528242,1.090641792,-11.83431955,0.032490326,8.615384624,10.6865208,1489.692309,1.345208551,0.220150396,1.304615386
0,0,0,0,0,0.142857143,0,0,0,0,0,0.285714286,0.285714286,0.285714286,0,0,0,0,0,0,0,0,0,0,FCC + Im,287,2.657710253,1.090837078,-19.42857147,0.031943828,8.285714294,11.23935749,1484.285716,0.858653855,0.304839894,1.497142859
0,0,0,0,0,0.2,0,0,0,0,0,0.266666667,0.266666667,0.266666667,0,0,0,0,0,0,0,0,0,0,FCC + Im,570,3.045362704,1.091007152,-24.96000003,0.031382939,8.000000009,11.46807389,1479.600001,0.679814188,0.366328846,1.664000001
0,0,0,0,0.076923077,0,0,0,0,0,0,0.307692308,0.307692308,0.307692308,0,0,0,0,0,0,0,0,0,0,FCC,138,3.944930254,1.170910057,-6.05917161,0.076999962,8.538461547,10.6865208,1431.716925,2.52510965,0.187130746,1.22846154
0,0,0,0,0.142857143,0,0,0,0,0,0,0.285714286,0.285714286,0.285714286,0,0,0,0,0,0,0,0,0,0,FCC + BCC,212,5.123177532,1.170192763,-9.469387774,0.097079812,8.142857151,11.23935749,1376.617144,1.633927407,0.256638451,1.355714287
0,0,0,0,0.2,0,0,0,0,0,0,0.266666667,0.266666667,0.266666667,0,0,0,0,0,0,0,0,0,0,FCC + BCC,385,5.804983773,1.169576917,-11.94666668,0.109390229,7.800000009,11.46807389,1328.864001,1.275628673,0.305765189,1.466000001
0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,FCC,,0.302115885,1.008681822,-3.75,0.096695398,8.25,11.52629264,1598.75,4.914042763,0.14057444,1.04
0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,FCC,116,0.302115885,1.008681822,-3.75,0.096695398,8.25,11.52629264,1598.75,4.914042763,0.14057444,1.04
0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,FCC,113,0.302115885,1.008681822,-3.75,0.096695398,8.25,11.52629264,1598.75,4.914042763,0.14057444,1.04
0,0,0,0,0,0,0,0,0,0.222222222,0,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0.111111111,0,0,0,0,FCC + Im,210,2.913948623,1.107770383,-4.345679004,0.140457805,7.999999992,13.14594488,1712.555554,5.180585333,0.187360011,1.078888888
0,0,0,0,0,0,0,0,0,0.243724104,0,0.243724104,0.243724104,0.243724104,0,0,0,0,0.025103583,0,0,0,0,0,FCC + Im,,2.297778546,1.168651374,-5.473010994,0.101487899,8.168413347,12.21211239,1620.79722,3.61653902,0.164098813,1.047029002
0,0,0,0,0,0,0,0,0,0.240673887,0,0.240673887,0.240673887,0.240673887,0,0,0,0,0.037304452,0,0,0,0,0,FCC + Im,,2.770916018,1.168522038,-6.276635922,0.103631001,8.128760531,12.42064515,1631.512635,3.22855105,0.174403102,1.050445247
0,0,0,0,0,0,0,0,0,0.237755587,0,0.237755587,0.237755587,0.237755587,0,0,0,0,0.048977651,0,0,0,0,0,FCC + Im,,3.14608013,1.168398518,-7.02481272,0.105576867,8.090822626,12.58718883,1641.76462,2.941744089,0.183726443,1.053713741
0,0,0,0,0,0,0,0,0,0.232072407,0,0.232072407,0.232072407,0.232072407,0,0,0,0,0.071710374,0,0,0,0,0,FCC + Im,,3.743532811,1.168158594,-8.423759845,0.109093533,8.016941301,12.84520891,1661.729639,2.53393553,0.200648695,1.060078907
0,0,0,0,0,0,0,0,0,0.226654578,0,0.226654578,0.226654578,0.226654578,0,0,0,0,0.093381686,0,0,0,0,0,FCC + Im,,4.20565845,1.167930634,-9.685938493,0.112136078,7.946509504,13.02986561,1680.762463,2.261020863,0.215542536,1.06614687
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,FCC,,6.680561833,1.196867657,-16.32,0.141506184,7.4,13.38161136,1612.6,1.322254073,0.255531634,1.06
0,0,0,0,0,0,0,0.090909091,0,0.181818182,0,0.181818182,0.272727273,0.272727273,0,0,0,0,0,0,0,0,0,0,FCC,509,4.88503595,1.198439789,-10.74380167,0.121865662,8.090909099,12.85913696,1582.545456,1.89413109,0.194966066,1.05909091
0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0.166666667,0.25,0.25,0,0,0,0,0,0,0,0,0,0,FCC + Im,654,6.247995391,1.197331716,-15.61111115,0.138230383,7.750000006,13.21190489,1589.666668,1.345357459,0.233171967,1.065833334
0,0,0,0,0.058823529,0,0,0,0,0.235294118,0,0.235294118,0.235294118,0.235294118,0,0,0,0,0,0,0,0,0,0,FCC,110,3.478013805,1.171066633,-6.754325251,0.106026046,7.941176481,12.70837101,1543.548237,2.904210701,0.22070801,1.155882353
